BRAND,PRODUCT SKU,PRODUCT NAME,Shop Name,PRODUCT LINK,Note,BUNDLE LINK,Comment,Price,Price_Bundle
Unimig,U12003K,RAZOR TIG 220 DC,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-u12003k-razor-tig-220-dc-welder?srsltid=AfmBOoq9tCb8oOBlHkQIhCgm_neC0uPs94HYI6pkeeqV738j9TmQMebW,,,,"$1,549.00",
Unimig,KUMJRRW320ACDC,RAZOR 320 ACDC,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-kumjrrw320acdc-razor-320-ac-dc-tig-welder?srsltid=AfmBOorMw4BU3SCmTUj4RH31gcuUZWK6ckXqPTAvGz-iVsx8pb_9cPjy,,,,"$3,915.00",
Unimig,U31006,VIPER ARC 140,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-kumjrva140-140a-viper-arc-dc-tig-inverter-welder?srsltid=AfmBOophm1mOVKKSMHW505ex2ZMc5auGzXsar-Wf_BLKuYIn8pnjNgon,,,,$285.00,
Unimig,U13002K,RAZOR ARC 160 PFC,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-u13002k-razor-arc-160-pfc-welder?srsltid=AfmBOopBIytFKJMnrSobQUj65Y8El2J5hujB6J_hFWZgk4bFXwHodWdO,,,,$749.00,
Unimig,KUMJRRW180CA,NOT ANALYSED SUBSEQUENTLY,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-kumjrrw180ca-180a-dc-razorweld-arc180-mma-tig-inverter-welder?srsltid=AfmBOorTkG-3KtzgY4ZkiZt8N_jSLSw5KZ3CUM0-oiwUoQ1mMc4vEW1-,,,,$445.00,
Unimig,U13005,NEW RAZOR ARC 180,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-u13005-razor-arc-180-stick-welder?srsltid=AfmBOoqlZVwETSRTovHyd6wQpXM-SADUhZwNK1HHXlmyxCN3IqFVwbcv,,,,$549.00,
Unimig,U13003K,RAZOR ARC 200 PFC,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-u13003k-razor-arc-200-pfc-welder?srsltid=AfmBOoo1SJdzJ-ymvzEeARJ3oHZ9Tn6QZpt2ub-G41Gy4pI_8WVqNJZ5,,,,$849.00,
Unimig,U13004,RAZOR ARC 140,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-u13005-razor-arc-180-stick-welder?utm_source=google&utm_medium=shopping&utm_campaign=22017532287&utm_content=&utm_term=&utm_id={productid}&gad_source=1&gclid=Cj0KCQiAqL28BhCrARIsACYJvkf-Tcu01wY12BZEfz4aqg0tvMZvsJKf5fTEjha7C7vYLajy8HfalgkaAvWvEALw_wcB,,,,$549.00,
Unimig,U14005K,VIPER CUT 30 MK 2,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-u14005k-viper-cut-30-mk-ii-plasma-cutter?srsltid=AfmBOopMwG7YOFZ-Rp1thVokovzH3VYxrKR2Hfa00dY0s_mQMA1149WB,,,,$769.00,
Unimig,U14001K,RAZOR CUT 40,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-u14001k-razor-cut-40-air-plasma-cutter?srsltid=AfmBOopxHxOfDAHuHlvBemFYHRiXTI9YH1A1IyIRzNWA8iRp7ppyQvMc,,,,"$1,820.00",
